Pos,FirstName,LastName,Team,Opp,PAT_Made,FG Made_0-19,FG Made_20-29,FG Made_30-39,FG Made_40-49,FG Made_50+,Fantasy_Points
K,Stephen,Gostkowski,NE,PIT,52,-,6,11,12,4,159
K,Graham,Gano,CAR,@JAX,56,1,10,4,13,2,150
K,Blair,Walsh,SEA,@SF,33,-,9,13,6,6,147
K,Cairo,Santos,KC,@HOU,39,-,7,10,9,4,137.12
K,Justin,Tucker,BAL,@DEN,29,-,10,9,10,4,136
K,Brandon,McManus,DEN,BAL,35,-,12,8,5,5,135
K,Robbie,Gould,SF,GB,24,1,8,7,7,7,128
K,Dan,Bailey,DAL,NYG,25,-,9,10,6,5,125
K,Stephen,Hauschka,BUF,@LA,36,-,6,6,7,6,123
K,Dustin,Hopkins,WAS,MIA,39,-,7,9,7,2,118
K,Chris,Boswell,PIT,@NE,26,1,9,8,9,2,117
K,Mason,Crosby,GB,@CHI,36,1,7,4,8,4,116
K,Jason,Myers,JAX,CAR,32,-,9,8,6,3,116
K,Adam,Vinatieri,IND,@BUF,32,-,7,6,8,4,115
K,Josh,Lambo,LAC,DET,28,-,4,7,11,4,114
K,Chandler,Catanzaro,NYJ,NO,49,1,8,7,5,-,112
K,Matt,Prater,DET,@LAC,34,-,3,8,6,5,110
K,Dan,#VALUE!,Free,IND,34,-,5,8,7,3,109
K,Sebastian,Janikowski,OAK,CIN,38,-,7,5,5,4,109
K,Caleb,Sturgis,PHI,@ATL,35,-,4,8,4,2,93
K,Phil,Dawson,ARI,MIN,20,-,8,6,6,2,90
K,Connor,Barth,CHI,TEN,23,-,8,7,3,2,87
K,Nick,Novak,HOU,KC,29,-,6,6,4,2,87
K,Randy,Bullock,CIN,CLE,22,1,4,6,8,-,79
K,Andrew,Franks,MIA,@WAS,33,1,3,4,4,1,74
